City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mikhaylovskoye,51.8239,79.7172,-13.65,73,100,7.11,RU,1707717853
1,grytviken,-54.2811,-36.5092,5.46,78,3,3.81,GS,1707717854
2,darazo,10.9938,10.4118,19.11,15,1,2.5,NG,1707717854
3,adamstown,-25.066,-130.1015,24.9,90,45,8.35,PN,1707717854
4,ust-nera,64.5667,143.2,-35.4,99,84,1.05,RU,1707717854
5,puerto natales,-51.7236,-72.4875,6.03,81,95,4.83,CL,1707717854
6,blackmans bay,-43.0167,147.3167,21.07,66,67,0.89,AU,1707717854
7,magaria,12.9983,8.9099,19.57,12,28,3.28,NE,1707717855
8,waitangi,-43.9535,-176.5597,13.23,83,97,0.45,NZ,1707717855
9,yellowknife,62.456,-114.3525,-15.71,96,20,0.0,CA,1707717721
10,leava,-14.3,-178.1667,28.5,84,100,9.53,WF,1707717855
11,nova sintra,14.8667,-24.7167,19.86,79,2,7.01,CV,1707717855
12,new norfolk,-42.7826,147.0587,21.72,29,80,1.36,AU,1707717855
13,nar'yan-mar,67.6713,53.087,-33.27,100,29,1.79,RU,1707717855
14,new romney,50.986,0.9412,4.99,94,99,2.57,GB,1707717856
15,college,64.8569,-147.8028,-10.82,88,75,2.06,US,1707717856
16,weno,7.4515,151.8468,29.97,70,40,5.66,FM,1707717856
17,laguna,38.421,-121.4238,8.99,83,0,1.54,US,1707717856
18,faranah,10.0404,-10.7434,21.85,35,3,1.45,GN,1707717856
19,punta arenas,-53.15,-70.9167,7.06,65,0,5.14,CL,1707717856
20,albany,42.6001,-73.9662,1.68,77,95,0.45,US,1707717589
21,al burayqah,30.4062,19.5739,17.55,67,100,6.84,LY,1707717856
22,kodiak,57.79,-152.4072,-0.27,80,0,2.06,US,1707717857
23,tomatlan,19.9333,-105.25,17.41,82,99,0.89,MX,1707717857
24,vorgashor,67.5833,63.95,-33.3,100,100,1.22,RU,1707717857
25,bethel,41.3712,-73.414,2.74,79,0,0.89,US,1707717558
26,tympaki,35.0729,24.7685,17.84,77,100,2.68,GR,1707717857
27,hawaiian paradise park,19.5933,-154.9731,22.24,91,75,3.6,US,1707717857
28,thompson,55.7435,-97.8558,-13.91,85,20,1.54,CA,1707717628
29,margaret river,-33.95,115.0667,23.87,52,2,11.17,AU,1707717858
30,port-aux-francais,-49.35,70.2167,5.81,79,8,10.77,TF,1707717858
31,kununurra,-15.7667,128.7333,31.99,62,89,2.06,AU,1707717858
32,jamestown,42.097,-79.2353,-0.55,90,100,2.06,US,1707717858
33,st. john's,47.5649,-52.7093,0.66,93,75,3.6,CA,1707717783
34,tidjikja,18.5564,-11.4271,20.62,38,0,4.92,MR,1707717858
35,bilibino,68.0546,166.4372,-33.44,95,76,0.42,RU,1707717858
36,fale old settlement,-9.3852,-171.2468,27.84,87,100,9.39,TK,1707717859
37,saint-francois,46.4154,3.9054,4.25,88,0,1.54,FR,1707717859
38,port mathurin,-19.6833,63.4167,27.51,86,77,8.73,MU,1707717859
39,qarauyl,48.9451,79.255,-10.96,73,2,4.41,KZ,1707717859
40,jamaame,0.0697,42.745,30.47,57,98,3.9,SO,1707717859
41,antsiranana,-12.2787,49.2917,26.42,83,40,3.09,MG,1707717859
42,hithadhoo,-0.6,73.0833,27.53,76,85,4.49,MV,1707717859
43,wailua homesteads,22.0669,-159.378,23.24,78,0,1.54,US,1707717860
44,korinthos,37.9407,22.9573,11.61,70,14,2.72,GR,1707717860
45,puerto ayora,-0.7393,-90.3518,25.86,97,15,3.13,EC,1707717860
46,edinburgh of the seven seas,-37.0676,-12.3116,16.82,72,18,9.56,SH,1707717860
47,talnakh,69.4865,88.3972,-31.95,89,17,1.99,RU,1707717860
48,suva,-18.1416,178.4415,30.71,70,75,3.6,FJ,1707717860
49,hermanus,-34.4187,19.2345,22.67,59,0,3.19,ZA,1707717860
50,codrington,-38.2667,141.9667,21.63,63,0,5.03,AU,1707717861
51,oasis,33.4659,-116.0989,12.29,65,0,0.0,US,1707717861
52,rzhanitsa,53.4284,33.923,0.57,99,100,3.02,RU,1707717861
53,januaria,-15.4833,-44.3667,19.76,90,43,0.55,BR,1707717861
54,atafu village,-8.5421,-172.5159,27.74,85,100,9.44,TK,1707717861
55,tofol,5.3248,163.0078,28.88,74,100,5.14,FM,1707717861
56,iqaluit,63.7506,-68.5145,-27.95,68,20,6.71,CA,1707717861
57,ma'an,26.9775,110.7211,18.28,50,81,1.08,CN,1707717862
58,qamdo,31.1667,97.2333,-2.05,24,6,1.34,CN,1707717862
59,ciudad guayana,8.3533,-62.6528,25.29,82,48,4.17,VE,1707717862
60,isafjordur,66.0755,-23.124,0.19,91,100,14.67,IS,1707717862
61,bredasdorp,-34.5322,20.0403,20.94,75,2,2.18,ZA,1707717862
62,freetown,8.484,-13.2299,26.84,83,15,3.09,SL,1707717862
63,laojunmiao,39.8333,97.7333,5.01,13,10,2.1,CN,1707717862
64,newman,37.3138,-121.0208,9.05,88,14,1.34,US,1707717758
65,ribeira grande,38.5167,-28.7,17.1,88,11,10.28,PT,1707717863
66,portage la prairie,49.9728,-98.2926,-4.94,65,50,3.72,CA,1707717863
67,stanley,54.868,-1.6985,3.49,87,20,2.57,GB,1707717859
68,opuwo,-18.0607,13.84,21.96,78,100,2.83,NA,1707717863
69,papatowai,-46.5619,169.4708,16.62,61,86,3.65,NZ,1707717863
70,okha,53.5739,142.9478,-12.87,93,100,3.44,RU,1707717863
71,olonkinbyen,70.9221,-8.7187,-2.0,67,100,6.49,SJ,1707717863
72,vilyuchinsk,52.9306,158.4028,-7.85,76,6,2.66,RU,1707717863
73,bay roberts,47.5999,-53.2648,0.86,95,98,0.45,CA,1707717864
74,aguazul,5.1728,-72.5471,27.11,74,91,1.16,CO,1707717864
75,whangarei,-35.7317,174.3239,20.92,59,44,1.85,NZ,1707717589
76,port elizabeth,-33.918,25.5701,21.29,82,0,3.6,ZA,1707717691
77,la paz,-16.5,-68.15,9.99,88,75,3.6,BO,1707717864
78,anadyr,64.75,177.4833,-25.56,75,0,6.0,RU,1707717798
79,altay,47.8667,88.1167,-9.48,80,100,1.01,CN,1707717864
80,enewetak,11.3474,162.3373,26.5,79,100,9.83,MH,1707717865
81,viamao,-30.0811,-51.0233,28.55,74,0,1.03,BR,1707717697
82,georgetown,5.4112,100.3354,34.97,41,20,6.69,MY,1707717865
83,tiksi,71.6872,128.8694,-34.3,100,100,0.88,RU,1707717865
84,broken hill,-31.95,141.4333,36.47,18,11,3.79,AU,1707717865
85,longyearbyen,78.2186,15.6401,-11.09,73,40,5.14,SJ,1707717865
86,luderitz,-26.6481,15.1594,18.76,87,5,3.41,NA,1707717865
87,tindouf,27.6711,-8.1474,12.25,58,0,2.57,DZ,1707717865
88,prado,-17.3411,-39.2208,24.44,90,20,1.61,BR,1707717866
89,es castell,39.8795,4.2854,12.38,71,0,4.12,ES,1707717866
90,crane,31.3974,-102.3501,3.89,61,92,7.24,US,1707717866
91,homosassa springs,28.8036,-82.5759,20.01,88,100,0.0,US,1707717866
92,portland,45.5234,-122.6762,10.15,90,100,5.36,US,1707717606
93,ushuaia,-54.8,-68.3,6.81,76,40,10.29,AR,1707717720
94,konstantinovsk,47.5828,41.0922,5.19,92,100,2.33,RU,1707717866
95,petropavlovsk-kamchatsky,53.0452,158.6483,-8.67,72,0,4.92,RU,1707717867
96,kapuskasing,49.4169,-82.4331,-8.95,92,100,0.51,CA,1707717867
97,asekeyevo,53.5742,52.7972,-19.93,96,82,1.68,RU,1707717867
98,andorra,42.5,1.5,2.65,74,79,2.13,AD,1707717867
99,dudinka,69.4058,86.1778,-37.4,99,28,1.79,RU,1707717867
100,taoudenni,22.6783,-3.9836,21.61,32,0,3.72,ML,1707717867
101,kamaishi,39.2667,141.8833,5.64,46,71,3.76,JP,1707717867
102,corinto,37.9407,22.9573,11.61,72,36,2.77,GR,1707717867
103,saint-joseph,-21.3667,55.6167,28.21,80,21,4.98,RE,1707717868
104,acapulco de juarez,16.8634,-99.8901,24.62,81,38,1.78,MX,1707717777
105,saipan,15.1355,145.701,29.39,61,20,6.69,MP,1707717868
106,villa canas,-34.0057,-61.6076,23.86,93,11,2.86,AR,1707717868
107,magadan,59.5667,150.8,-19.15,95,100,1.59,RU,1707717868
108,avarua,-21.2078,-159.775,26.03,73,20,3.6,CK,1707717868
109,tralee,52.2704,-9.7026,7.82,69,30,9.52,IE,1707717868
110,remire-montjoly,4.9167,-52.2667,26.02,89,75,3.09,GF,1707717869
111,dongcun,36.7767,121.1597,8.22,64,0,5.57,CN,1707717869
112,hamilton,39.1834,-84.5333,3.3,80,0,2.57,US,1707717577
113,geraldton,-28.7667,114.6,27.23,65,0,8.23,AU,1707717869
114,west island,-12.1568,96.8225,30.99,70,40,4.12,CC,1707717869
115,nova xavantina,-14.6667,-52.35,21.22,99,100,2.65,BR,1707717668
116,vadso,70.0744,29.7487,-4.91,93,75,1.54,NO,1707717869
117,haiku-pauwela,20.9219,-156.3051,22.25,84,40,3.09,US,1707717869
118,glenfield park,-35.1372,147.334,36.31,36,1,1.79,AU,1707717870
119,utrik,11.2278,169.8474,26.26,80,93,9.61,MH,1707717870
120,san ignacio,17.1561,-89.0714,23.08,94,0,0.0,BZ,1707717870
121,wanning,18.8003,110.3967,22.85,68,99,4.08,CN,1707717870
122,zaozersk,69.4005,32.4476,-22.3,98,56,1.88,RU,1707717870
123,mitsamiouli,-11.3847,43.2844,27.72,76,98,6.58,KM,1707717870
124,mejit,10.2753,170.8646,26.51,77,85,9.34,MH,1707717870
125,iwon-up,40.3231,128.6553,4.34,47,0,5.1,KP,1707717594
126,kolyshley,52.7005,44.5367,-8.28,95,100,5.76,RU,1707717871
127,howard springs,-12.497,131.047,26.95,95,100,3.67,AU,1707717871
128,port alfred,-33.5906,26.891,23.43,76,67,2.24,ZA,1707717871
129,invercargill,-46.4,168.35,16.68,69,70,3.13,NZ,1707717871
130,lisakovsk,52.5369,62.4936,-16.97,95,78,2.84,KZ,1707717871
131,hell-ville,-13.4,48.2667,25.33,90,100,4.9,MG,1707717871
132,warrensburg,38.7628,-93.7361,2.04,80,0,2.57,US,1707717871
133,arraial do cabo,-22.9661,-42.0278,25.07,88,23,10.06,BR,1707717871
134,kitimat,54.0524,-128.6534,-0.18,69,10,0.67,CA,1707717843
135,wau,7.7029,27.9953,27.94,16,27,2.72,SS,1707717872
136,prince rupert,54.3161,-130.3201,5.83,100,0,4.12,CA,1707717872
137,fort bragg,35.139,-79.006,15.11,94,100,0.45,US,1707717736
138,nemuro,43.3236,145.575,-2.37,65,45,3.63,JP,1707717666
139,ghat,24.9647,10.1728,15.9,33,0,2.79,LY,1707717872
140,san juan,-31.5375,-68.5364,29.67,52,20,2.13,AR,1707717837
141,guiratinga,-16.3494,-53.7583,21.7,90,100,2.79,BR,1707717872
142,klaksvik,62.2266,-6.589,5.51,91,100,9.11,FO,1707717873
143,santa ana de yacuma,-13.75,-65.4333,24.86,91,100,1.68,BO,1707717873
144,zhigalovo,54.8097,105.1578,-11.8,80,100,4.16,RU,1707717873
145,margate,51.3813,1.3862,4.27,94,96,0.45,GB,1707717873
146,buala,-8.145,159.5921,28.66,76,84,3.66,SB,1707717873
147,kisangani,0.5167,25.2,26.02,72,74,1.74,CD,1707717873
148,novyy urengoy,66.0833,76.6333,-29.47,97,88,2.96,RU,1707717873
149,nagqu,31.5,92.0,-4.77,23,36,3.04,CN,1707717873
150,gros islet,14.0667,-60.95,26.9,77,2,8.03,LC,1707717874
151,constantia,44.1833,28.65,12.61,86,100,10.58,RO,1707717874
152,severo-yeniseyskiy,60.3725,93.0408,-18.01,95,100,4.47,RU,1707717874
153,imbituba,-28.24,-48.6703,23.35,92,21,4.04,BR,1707717874
154,launceston,-41.45,147.1667,27.8,32,30,10.8,AU,1707717874
155,touros,-5.1989,-35.4608,26.36,82,65,5.17,BR,1707717874
156,vilyuysk,63.7553,121.6247,-27.22,96,100,4.92,RU,1707717875
157,klyuchi,52.2667,79.1667,-13.92,72,100,7.26,RU,1707717875
158,badger,64.8,-147.5333,-10.86,78,75,0.0,US,1707717583
159,kavaratti,10.5669,72.642,28.04,71,58,4.75,IN,1707717875
160,owando,-0.4819,15.8999,25.33,72,59,1.04,CG,1707717875
161,vorkuta,67.5,64.0,-32.73,100,100,1.63,RU,1707717875
162,okondja,-0.6549,13.6753,24.2,89,93,0.75,GA,1707717875
163,usinsk,65.9939,57.5281,-34.4,100,88,2.24,RU,1707717876
164,watsa,3.0372,29.5355,24.4,58,83,0.6,CD,1707717876
165,puerto baquerizo moreno,-0.9,-89.6,26.07,87,46,3.21,EC,1707717876
166,harnai,30.1005,67.9374,15.79,33,100,1.68,PK,1707717876
167,ciudad lazaro cardenas,17.9583,-102.2,20.76,89,12,2.45,MX,1707717876
168,taksimo,56.3444,114.8794,-8.67,55,83,5.15,RU,1707717876
169,francistown,-21.17,27.5079,20.12,69,4,7.29,BW,1707717876
170,as sulayyil,20.4607,45.5779,18.14,36,75,4.95,SA,1707717876
171,midvagur,62.0511,-7.1939,5.46,93,100,5.14,FO,1707717877
172,lata,40.1629,-8.3327,14.4,98,99,1.47,PT,1707717877
173,queenstown,-31.8976,26.8753,21.88,43,27,1.77,ZA,1707717877
174,suntar,62.1444,117.6319,-24.23,87,100,3.05,RU,1707717877
175,salinopolis,-0.6136,-47.3561,27.65,81,100,6.61,BR,1707717877
176,shiyan,32.6475,110.7781,17.18,36,41,1.74,CN,1707717877
177,saudarkrokur,65.7461,-19.6394,0.62,79,100,8.24,IS,1707717877
178,kingston,17.997,-76.7936,25.53,81,20,6.17,JM,1707717877
179,ilulissat,69.2167,-51.1,-19.99,59,68,3.6,GL,1707717878
180,rongelap,11.1635,166.8941,26.2,82,84,9.83,MH,1707717878
181,lebu,-37.6167,-73.65,13.56,93,1,7.83,CL,1707717878
182,whitehorse,60.7161,-135.0538,-2.57,43,75,2.06,CA,1707717878
183,chonchi,-42.6128,-73.8092,9.56,90,0,1.51,CL,1707717878
184,independence,39.0911,-94.4155,1.6,78,54,2.18,US,1707717669
185,flying fish cove,-10.4217,105.6791,28.82,78,100,1.54,CX,1707717878
186,gargalianoi,37.0667,21.6333,8.34,70,5,6.32,GR,1707717879
187,redencao,-4.2258,-38.7306,23.29,98,79,0.34,BR,1707717879
188,san patricio,28.017,-97.5169,15.92,69,0,5.83,US,1707717879
189,san julian,21.0167,-102.1667,12.51,28,98,1.84,MX,1707717879
190,al kharijah,25.4514,30.5464,16.65,21,60,1.01,EG,1707717879
191,kudahuvadhoo,2.6708,72.8944,25.03,89,100,3.49,MV,1707717879
192,karratha,-20.7377,116.8463,33.81,51,1,9.45,AU,1707717879
193,carnarvon,-24.8667,113.6333,25.28,78,0,9.66,AU,1707717880
194,maragogi,-9.0122,-35.2225,26.24,82,97,3.76,BR,1707717880
195,sisimiut,66.9395,-53.6735,-23.56,90,34,3.33,GL,1707717880
196,qaqortoq,60.7167,-46.0333,-12.06,68,97,2.54,GL,1707717880
197,awjilah,29.1081,21.2869,18.45,19,100,4.12,LY,1707717880
