City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,22.83,89,75,7.72,ZA,1707275524
1,adamstown,-25.066,-130.1015,25.01,85,94,5.16,PN,1707275524
2,thompson,55.7435,-97.8558,-24.8,96,13,2.39,CA,1707275247
3,port-aux-francais,-49.35,70.2167,6.76,99,100,7.88,TF,1707275525
4,hotan,37.0997,79.9269,-3.45,68,12,0.83,CN,1707275526
5,iquique,-20.2208,-70.1431,23.08,87,9,0.76,CL,1707275527
6,kilkeel,54.062,-6.0031,1.64,72,77,1.51,GB,1707275527
7,noosa heads,-26.3833,153.15,29.5,76,28,6.55,AU,1707275527
8,hithadhoo,-0.6,73.0833,28.32,74,34,3.0,MV,1707275528
9,afif,23.9065,42.9172,8.9,40,0,5.14,SA,1707275528
10,iskateley,67.6803,53.1512,-24.99,97,100,1.79,RU,1707275528
11,kodiak,57.79,-152.4072,3.73,65,20,10.29,US,1707275528
12,albany,42.6001,-73.9662,-1.22,71,11,0.89,US,1707275437
13,waitangi,-43.9535,-176.5597,19.9,88,100,3.13,NZ,1707275529
14,atafu village,-8.5421,-172.5159,29.01,79,93,10.39,TK,1707275529
15,afaahiti,-17.75,-149.2833,27.93,89,100,10.63,PF,1707275529
16,edinburgh of the seven seas,-37.0676,-12.3116,16.77,62,96,1.23,SH,1707275529
17,vorgashor,67.5833,63.95,-26.57,98,67,2.44,RU,1707275529
18,ilulissat,69.2167,-51.1,-6.99,53,100,9.26,GL,1707275529
19,la ronge,55.1001,-105.2842,-12.6,94,95,3.96,CA,1707275530
20,ekibastuz,51.6667,75.3667,-5.27,72,85,5.1,KZ,1707275426
21,invercargill,-46.4,168.35,17.79,62,16,4.47,NZ,1707275530
22,remire-montjoly,4.9167,-52.2667,26.02,100,40,3.09,GF,1707275531
23,nago,26.5881,127.9761,21.47,78,100,4.33,JP,1707275518
24,usogorsk,63.4106,48.6872,-28.52,100,99,1.12,RU,1707275531
25,tazovsky,67.4667,78.7,-20.51,100,94,2.86,RU,1707275531
26,montecristo,8.2971,-74.4733,23.84,98,94,0.63,CO,1707275532
27,dubovka,49.0583,44.829,-4.47,84,82,7.22,RU,1707275532
28,dunedin,-45.8742,170.5036,17.67,70,94,1.34,NZ,1707275532
29,jogeva,58.7467,26.3939,-8.18,94,100,4.06,EE,1707275532
30,papatowai,-46.5619,169.4708,17.11,53,16,4.37,NZ,1707275532
